"time"	"polli"	"oFlower"	"dflower"
1	1	18	88
1	2	41	61
1	3	22	82
1	4	56	11
1	5	38	58
1	6	26	93
1	7	39	99
1	8	47	96
1	9	31	76
1	10	71	44
1	11	24	60
1	12	7	87
1	13	58	62
1	14	44	56
1	15	27	47
1	16	97	77
1	17	84	4
1	18	70	75
1	19	35	2
1	20	91	68
2	1	88	93
2	2	61	21
2	3	82	2
2	4	11	35
2	5	58	56
2	6	93	73
2	7	99	19
2	8	96	98
2	9	76	96
2	10	44	100
2	11	60	84
2	12	87	91
2	13	62	55
2	14	56	42
2	15	47	16
2	16	77	36
2	17	4	80
2	18	75	57
2	19	2	54
2	20	68	8
3	1	93	14
3	2	21	82
3	3	2	34
3	4	35	54
3	5	56	87
3	6	73	28
3	7	19	59
3	8	98	78
3	9	96	40
3	10	100	38
3	11	84	42
3	12	91	36
3	13	55	95
3	14	42	99
3	15	16	25
3	16	36	16
3	17	80	8
3	18	57	51
3	19	54	94
3	20	8	39
4	1	14	82
4	2	82	78
4	3	34	23
4	4	54	74
4	5	87	67
4	6	28	19
4	7	59	69
4	8	78	94
4	9	40	20
4	10	38	99
4	11	42	62
4	12	36	16
4	13	95	59
4	14	99	10
4	15	25	85
4	16	16	55
4	17	8	28
4	18	51	56
4	19	94	53
4	20	39	35
