"female"	"male"
1	7
2	59
3	29
4	48
5	66
6	21
7	6
8	31
9	56
10	17
11	87
12	61
13	68
14	85
15	89
16	61
17	99
18	58
19	3
20	69
21	1
22	5
23	24
24	76
25	44
26	50
27	32
28	57
29	26
30	17
31	56
32	45
33	7
34	7
35	13
36	89
37	15
38	66
39	50
40	52
41	89
42	45
43	96
44	86
45	63
46	21
47	64
48	28
49	64
50	13
51	69
52	95
53	4
54	64
55	44
56	7
57	3
58	93
59	12
60	6
61	48
62	64
63	14
64	87
65	51
66	3
67	29
68	2
69	28
70	68
71	82
72	85
73	41
74	81
75	52
76	9
77	50
78	18
79	61
80	64
81	45
82	65
83	26
84	39
85	32
86	50
87	70
88	65
89	59
90	69
91	1
92	84
93	26
94	24
95	3
96	56
97	44
98	11
99	5
100	69
