"female"	"male"
1	71
2	40
2	1
2	12
3	1
3	40
3	12
3	15
4	54
4	1
4	8
4	12
4	67
5	1
6	1
6	5
6	55
6	12
7	40
8	40
8	1
8	67
9	82
9	1
9	67
9	11
9	46
9	23
9	77
9	75
10	62
10	65
10	12
10	40
11	64
11	82
11	12
12	15
12	65
12	1
12	12
12	40
13	40
13	23
13	67
14	2
14	82
15	40
15	20
15	17
15	1
16	1
16	23
17	5
17	1
17	40
17	56
18	1
18	40
19	5
19	1
20	40
20	55
21	1
21	75
22	82
22	1
23	62
23	82
23	67
24	34
24	1
24	82
25	82
25	1
25	40
26	1
26	12
27	40
27	1
27	82
28	1
28	67
28	21
28	54
29	40
29	1
29	23
29	12
30	40
30	65
31	65
31	40
31	17
31	1
32	1
32	46
33	1
33	20
33	74
34	40
34	1
34	65
34	47
34	23
34	74
35	1
35	75
36	12
36	65
37	1
37	12
37	46
37	67
37	65
38	75
38	59
38	1
38	82
39	40
39	67
39	55
40	12
40	71
41	65
41	40
41	1
41	82
41	54
41	5
42	12
42	1
42	71
42	67
43	82
43	20
44	40
44	1
44	82
44	12
44	23
45	98
46	17
46	1
46	50
47	1
47	87
47	15
47	82
48	71
48	65
49	65
49	75
49	1
50	1
51	1
51	25
51	12
51	82
52	1
52	82
52	40
52	65
53	1
53	87
53	64
53	67
53	12
54	1
54	40
54	67
54	71
55	1
56	65
56	67
56	1
56	31
57	40
57	15
57	12
58	75
58	5
58	40
59	1
60	1
61	1
61	66
61	89
62	1
62	46
62	12
63	82
63	67
63	1
63	12
63	40
64	1
64	23
65	12
65	67
65	54
66	12
66	1
66	64
66	75
67	40
67	1
67	23
68	1
68	89
68	75
68	40
69	67
69	1
70	75
70	64
71	65
72	1
72	82
72	66
73	40
73	12
73	75
74	1
74	40
75	1
75	67
76	1
76	87
77	1
77	82
77	65
77	12
78	71
78	40
78	75
78	1
79	75
79	71
80	46
80	1
80	40
81	67
82	1
82	25
83	1
83	67
83	12
84	23
84	20
84	40
85	1
85	5
86	17
86	12
87	40
87	1
87	73
87	12
88	40
88	46
88	67
88	11
88	75
89	1
89	82
89	40
90	82
90	1
91	1
91	20
91	82
91	65
92	8
93	1
94	1
94	82
94	25
95	23
95	67
95	15
95	75
95	1
95	12
95	5
96	65
96	1
96	82
96	40
97	1
97	75
97	5
97	99
98	1
98	54
98	21
98	75
98	40
99	77
99	40
99	23
99	65
100	40
100	12
100	82
100	25
100	1
