"time"	"female"	"male"
1	1	38
1	2	53
1	3	20
1	4	9
1	5	35
1	6	66
1	7	35
1	8	68
1	9	53
1	10	31
1	11	99
1	12	1
1	13	99
1	14	53
1	15	66
1	16	91
1	17	53
1	18	4
1	19	78
1	20	53
1	21	72
1	22	66
1	23	99
1	24	99
1	25	53
1	26	4
1	27	1
1	28	4
1	29	30
1	30	48
1	31	40
1	32	53
1	33	66
1	34	53
1	35	1
1	36	35
1	37	96
1	38	9
1	39	53
1	40	66
1	41	6
1	42	18
1	43	53
1	44	60
1	45	12
1	46	4
1	47	66
1	48	81
1	49	56
1	50	4
1	51	20
1	52	1
1	53	4
1	54	74
1	55	53
1	56	25
1	57	9
1	58	46
1	59	66
1	60	53
1	61	66
1	62	2
1	63	4
1	64	4
1	65	99
1	66	12
1	67	49
1	68	53
1	69	99
1	70	46
1	71	35
1	72	4
1	73	1
1	74	57
1	75	66
1	76	68
1	77	49
1	78	66
1	79	53
1	80	66
1	81	53
1	82	16
1	83	1
1	84	70
1	85	74
1	86	4
1	87	57
1	88	18
1	89	46
1	90	4
1	91	83
1	92	53
1	93	81
1	94	53
1	95	66
1	96	66
1	97	35
1	98	1
1	99	84
1	100	35
2	2	78
2	3	70
2	6	25
2	7	4
2	9	60
2	10	74
2	11	99
2	13	80
2	14	66
2	17	46
2	18	99
2	20	99
2	21	99
2	22	85
2	23	74
2	25	12
2	26	83
2	27	9
2	28	74
2	32	40
2	33	66
2	36	84
2	40	63
2	42	53
2	44	78
2	51	74
2	53	60
2	54	99
2	55	4
2	56	66
2	58	4
2	59	4
2	61	4
2	69	4
2	72	68
2	73	91
2	74	4
2	78	4
2	80	86
2	83	69
2	85	66
2	86	74
2	90	1
2	91	66
2	92	99
2	95	4
2	96	66
2	99	83
3	3	35
3	6	53
3	12	69
3	14	9
3	19	1
3	29	66
3	32	66
3	33	70
3	34	66
3	46	66
3	48	53
3	49	14
3	51	9
3	62	89
3	64	66
3	65	91
3	66	99
3	69	1
3	72	1
3	80	91
3	85	18
3	87	4
3	90	4
3	91	66
